Date,Opponentnum,Ranknum,Site,TV,Result,Attendance
,Miami (OH)*,#4,"Ben Hill Griffin Stadium • Gainesville, FL",ESPN,,90178
,South Florida*,#8,"Ben Hill Griffin Stadium • Gainesville, FL",SECN,,90612
,at Tennessee,#10,"Neyland Stadium • Knoxville, TN",CBS,,102455
,Kentucky,#9,"Ben Hill Griffin Stadium • Gainesville, FL",ESPNU,,90547
,at #1 Alabama,#7,"Bryant-Denny Stadium • Tuscaloosa, AL",CBS,,101821
,#12 LSU,#14,"Ben Hill Griffin Stadium • Gainesville, FL",ESPN,,90721
,Mississippi State,#22,"Ben Hill Griffin Stadium • Gainesville, FL (HC)",ESPNU,,90517
,vs. Georgia,,"EverBank Field • Jacksonville, FL",CBS,,84444
,at Vanderbilt,,"Vanderbilt Stadium • Nashville, TN",SECN,,33848
,#22 South Carolina,#24,"Ben Hill Griffin Stadium • Gainesville, FL",ESPN,,90885
,Appalachian State*,,"Ben Hill Griffin Stadium • Gainesville, FL",ESPN3,,90119
,at #22 Florida State*,,"Doak Campbell Stadium • Tallahassee, FL",ABC,,82324
,vs. Penn State*,,"Raymond James Stadium • Tampa, FL (Outback Bowl)",ABC,,60574
