No.,Name,Class,Games,Minutes,Points,2 Points,2 Points.1,3 Points,3 Points.1,Free throws,Free throws.1,Rebounds,Rebounds.1,Rebounds.2,Assists,Turnovers,Steals,Blocked Shots,Personal Fouls,Fouls Drawn
,,,,,,Made/Attempts,%,Made/Attempts,%,Made/Attempts,%,Offensive,Defensive,Total,,,,,,
4.0,Sarah Vinci,1.0,7.0,125.0,8,4/9,44,,—,,—,2,6,8,1,2.0,2,1,4.0,1
5.0,Cobi Crispin,4.0,7.0,180.0,72,33/77,43,,—,6/14,43,13,34,47,11,13.0,4,1,18.0,17
6.0,Bridie Kean,4.0,7.0,109.0,16,7/26,27,0/1,0,2/8,25,5,27,32,6,4.0,6,—,8.0,8
7.0,Amanda Carter,1.0,3.0,38.0,7,3/5,60,,—,1/1,100,4,—,4,—,1.0,1,—,1.0,1
8.0,Tina McKenzie,3.0,2.0,18.0,—,0/2,0,,—,,—,—,4,4,2,1.0,—,—,2.0,-
9.0,Leanne Del Toso,3.5,3.0,24.0,4,2/7,29,,—,,—,2,7,9,2,3.0,—,—,2.0,1
10.0,Clare Nott,1.0,7.0,212.0,37,18/32,56,0/1,0,1/7,14,6,14,20,7,7.0,4,3,10.0,4
11.0,Kylie Gauci,2.0,7.0,186.0,54,24/68,35,2/6,33,0/2,0,4,11,15,28,14.0,5,—,9.0,12
12.0,Shelley Chaplin,3.5,7.0,166.0,26,13/48,27,0/1,0,0/7,0,5,15,20,28,10.0,4,—,12.0,13
13.0,Sarah Stewart,3.0,7.0,83.0,25,12/27,44,,—,1/5,20,4,12,16,12,2.0,2,—,7.0,6
14.0,Katie Hill,3.0,7.0,107.0,25,12/30,40,,—,1/1,100,1,7,8,6,4.0,2,—,4.0,4
15.0,Amber Merritt,4.5,7.0,153.0,83,40/77,52,0/1,0,3/12,25,11,30,41,6,8.0,5,2,16.0,16
,Team,,,,,,,,,,,7,12,19,,,,,,
,Team Totals,,,,357,168/408,41,2/10,20,15/57,26,64,179,243,109,84.0,35,7,93.0,83
