Date,Winner,Runner-up,Result,Site,Attendance
"February 11, 1978",#2 Maryland,#1 NC State,,"Charlottesville, Virginia",1500
"February 10, 1979",#1 Maryland,#2 NC State,,"Raleigh, North Carolina",3500
"February 10, 1980",#1 NC State,#2 Maryland,,"College Park, Maryland",
"February 14, 1981",#3 Maryland,#4 NC State,,"Clemson, South Carolina",300
"February 28, 1982",#3 Maryland,#4 Clemson,,"Raleigh, North Carolina",500
"March 6, 1983",#3 Maryland,#1 NC State,,"Fayetteville, North Carolina",2134
"March 4, 1984",#5 North Carolina,#3 NC State,,"Fayetteville, North Carolina",3733
"March 3, 1985",#1 NC State,#2 North Carolina,,"Fayetteville, North Carolina",3907
"March 3, 1986",#5 Maryland,#2 North Carolina,,"Fayetteville, North Carolina",2632
"March 2, 1987",#2 NC State,#1 Virginia,,"Fayetteville, North Carolina",2987
"March 7, 1988",#2 Maryland,#1 Virginia,,"Fayetteville, North Carolina",1223
"March 6, 1989",#1 Maryland,#2 NC State,,"Fayetteville, North Carolina",2975
"March 5, 1990",#2 Virginia,#1 NC State,,"Fayetteville, North Carolina",2765
"March 4, 1991",#3 NC State,#4 Clemson,,"Fayetteville, North Carolina",4102
"March 9, 1992",#1 Virginia,#7 Georgia Tech,,"Rock Hill, South Carolina",4154
"March 8, 1993",#1 Virginia,#2 Maryland,,"Rock Hill, South Carolina",3716
"March 7, 1994",#2 North Carolina,#1 Virginia,,"Rock Hill, South Carolina",4386
"March 5, 1995",#2 North Carolina,#4 Duke,,"Rock Hill, South Carolina",5724
"March 3, 1996",#4 Clemson,#2 Duke,,"Rock Hill, South Carolina",5067
"March 2, 1997",#1 North Carolina,#6 Clemson,,"Charlotte, North Carolina",5543
"March 1, 1998",#4 North Carolina,#2 Clemson,,"Charlotte, North Carolina",5534
"March 1, 1999",#4 Clemson,#3 North Carolina,,"Charlotte, North Carolina",6021
"March 6, 2000",#2 Duke,#5 North Carolina,,"Greensboro, North Carolina",8090
"March 5, 2001",#1 Duke,#3 NC State,,"Greensboro, North Carolina",8933
"March 4, 2002",#1 Duke,#2 North Carolina,,"Greensboro, North Carolina",9204
"March 10, 2003",#1 Duke,#2 North Carolina,,"Greensboro, North Carolina",11127
"March 8, 2004",#1 Duke,#2 North Carolina,,"Greensboro, North Carolina",11466
"March 7, 2005",#1 North Carolina,#2 Duke,,"Greensboro, North Carolina","11,578 *"
"March 5, 2006",#1 North Carolina,#3 Maryland,,"Greensboro, North Carolina","10,746"
"March 4, 2007",#2 North Carolina,#4 NC State,,"Greensboro, North Carolina","11,538"
"March 9, 2008",#1 North Carolina,#3 Duke,,"Greensboro, North Carolina","11,132"
"March 8, 2009",#1 Maryland,#3 Duke,,"Greensboro, North Carolina","9,943"
"March 7, 2010",#1 Duke,#6 NC State,,"Greensboro, North Carolina","9,432"
"March 6, 2011",#1 Duke,#6 North Carolina,,"Greensboro, North Carolina","9,890"
"March 4, 2012",#3 Maryland,#4 Georgia Tech,,"Greensboro, North Carolina","9,122"
"March 10, 2013",#1 Duke,#3 North Carolina,,"Greensboro, North Carolina","8,166"
"March 9, 2014",#1 Notre Dame,#2 Duke,,"Greensboro, North Carolina","8,190"
