Date,Time,Opponent,Site,TV,Result,Attendance,Record
11/09/2012*,8:30 PM,vs. Houston Baptist,"Stan Sheriff Center • Honolulu, HI (Rainbow Classic)",,,"5,674",
11/11/2012*,10:00 PM,at Hawaiʻi,"Stan Sheriff Center • Honolulu, HI (Rainbow Classic)",,,"5,339",
11/12/2012*,11:00 PM,,"Stan Sheriff Center • Honolulu, HI (Rainbow Classic)",,,"5,388",
11/21/2012*,9:30 PM,at #25 San Diego State,"Viejas Arena • San Diego, CA",FSSD,,"12,414",
11/24/2012*,8:30 PM,at Washington State,"Beasley Coliseum • Pullman, WA",P12N,,"4,571",
11/28/2012*,7:00 PM,at Arizona State,"Wells Fargo Arena • Tempe, AZ",P12N,,"4,545",
12/01/2012*,9:00 PM,at Oregon,"Matthew Knight Arena • Eugene, OR",P12N,,"5,281",
12/05/2012*,7:00 PM,at #19 Michigan State,"Breslin Center • East Lansing, MI",BTN,,"14,797",
12/08/2012*,3:00 PM,at Air Force,"Clune Arena • Colorado Springs, CO",,,"1,553",
12/18/2012*,7:00 PM,at Akron,"James A. Rhodes Arena • Akron, OH",,,"2,639",
12/22/2012*,8:25 PM,UTEP,"Don Haskins Center • El Paso, TX (Sun Bowl Invitational)",,,"7,132",
12/23/2012*,6:00 PM,Central Michigan,"Don Haskins Center • El Paso, TX (Sun Bowl Invitational)",,,"7,532",
01/02/2013,7:30 PM,Mississippi Valley State,"K. L. Johnson Complex • Pine Bluff, AR",,,"1,651",
01/06/2013,6:00 PM,at Alabama State,"K. L. Johnson Complex • Pine Bluff, AR",,,"2,333",
01/08/2013,7:30 PM,Alabama A&M,"K. L. Johnson Complex • Pine Bluff, AR",,,"3,989",
01/12/2013,4:25 PM,at Southern,"F. G. Clark Center • Baton Rouge, LA",,,"1,880",
01/14/2013,7:45 PM,at Alcorn State,"Davey Whitney Complex • Lorman, MS",,,500,
01/19/2013,7:30 PM,Texas Southern,"K. L. Johnson Complex • Pine Bluff, AR",,,"3,674",
01/21/2013,7:30 PM,Prairie View A&M,"K. L. Johnson Complex • Pine Bluff, AR",,,"3,173",
01/26/2013,5:00 PM,at Grambling State,"Fredrick C. Hobdy Assembly Center • Grambling, LA",,,"1,384",
01/28/2013,7:30 PM,at Jackson State,"Williams Assembly Center • Jackson, MS",,,"1,055",
02/02/2013,5:40 PM,at Alabama State,,,,"2,256",
02/04/2013,8:00 PM,at Alabama A&M,"Elmore Gymnasium • Normal, AL",,,808,
02/09/2013,7:30 PM,Southern,"K. L. Johnson Complex • Pine Bluff, AR",,,"3,462",
02/11/2013,8:00 PM,Alcorn State,"K. L. Johnson Complex • Pine Bluff, AR",ESPNU,,"4,355",
02/16/2013,1:30 PM,at Texas Southern,"Health and Physical Education Arena • Houston, TX",,,"1,824",
02/18/2013,8:00 PM,at Prairie View A&M,"William Nicks Building • Prairie View, TX",,,"1,412",
02/23/2013,7:30 PM,Grambling State,"K. L. Johnson Complex • Pine Bluff, AR",,,"5,047",
02/25/2013,8:20 PM,Jackson State,"K. L. Johnson Complex • Pine Bluff, AR",,,"3,026",
02/28/2013,7:30 PM,at Mississippi Valley State,"Harrison HPER Complex • Itta Bena, MS",,,"2,073",
