Date,Opponents,Venue,Result,Scorers,Attendance
19 Aug 1950,Nottingham Forest,H,,,16595
24 Aug 1950,Port Vale,A,,,30196
26 Aug 1950,Torquay United,A,,"Cowley, Parker, Roffi, Shergold",10276
31 Aug 1950,Port Vale,H,,"Parker, Moore",13537
2 Sep 1950,Aldershot,H,,"Roffi 4, Parker 2, M.Haines",13696
7 Sep 1950,Watford,A,,"Parker, Moore",9451
9 Sep 1950,Swindon Town,A,,,14021
14 Sep 1950,Watford,H,,"Newall, M.Haines",12116
16 Sep 1950,Colchester United,H,,Parker 2,16021
21 Sep 1950,Northampton Town,H,,"Parker, Moore",13845
23 Sep 1950,Bristol Rovers,A,,,19816
30 Sep 1950,Crystal Palace,H,,"Cowley, Moore",10114
7 Oct 1950,Millwall,H,,"Moore, Beattie",13129
14 Oct 1950,Bristol City,A,,Parker,22930
21 Oct 1950,Gillingham,H,,Shergold,9828
28 Oct 1950,Bournemouth & Boscombe Athletic,A,,,13466
4 Nov 1950,Exeter City,H,,,10653
11 Nov 1950,Southend United,A,,,9882
18 Nov 1950,Reading,H,,"Birch 2, Parker, Shergold, Aston",8529
2 Dec 1950,Ipswich Town,H,,Hayward,11496
23 Dec 1950,Torquay United,H,,"Parker, Shergold",8369
25 Dec 1950,Walsall,A,,,7832
26 Dec 1950,Walsall,H,,"Parker, Moore, Birch",13160
30 Dec 1950,Aldershot,A,,Moore,6291
13 Jan 1951,Swindon Town,H,,"Shergold, Birch",12485
20 Jan 1951,Colchester United,A,,Birch,8230
3 Feb 1951,Bristol Rovers,H,,Birch 2,11802
10 Feb 1951,Plymouth Argyle,A,,Parker,13408
17 Feb 1951,Crystal Palace,A,,Shergold,9990
24 Feb 1951,Millwall,A,,"Parker, Moore, Shergold, Beattie",15788
3 Mar 1951,Bristol City,H,,,11494
10 Mar 1951,Gillingham,A,,Birch,9040
24 Mar 1951,Exeter City,A,,"Parker, Beattie",7565
26 Mar 1951,Norwich City,A,,Birch,35267
31 Mar 1951,Southend United,H,,"Moore 2, Shergold 2, Parker, Birch",9544
5 Apr 1951,Northampton Town,A,,"Moore 2, Hayward, Parker",6425
7 Apr 1951,Reading,A,,,12939
12 Apr 1951,Leyton Orient,A,,"Parker, Moore, Shergold",8270
14 Apr 1951,Plymouth Argyle,H,,"Parker, Moore",11962
18 Apr 1951,Brighton & Hove Albion,A,,Parker,12114
21 Apr 1951,Ipswich Town,A,,Moore,10294
25 Apr 1951,Norwich City,H,,Moore,13862
28 Apr 1951,Leyton Orient,H,,,7564
30 Apr 1951,Bournemouth & Boscombe Athletic,H,,Shergold,5563
2 May 1951,Nottingham Forest,A,,Parker,21468
5 May 1951,Brighton & Hove Albion,H,,"Parker, Moore, Birch",9274
