Rank,County,Per capita income,Median household income,Median family income,Population,Number of households
1.0,McCone,"$32,205","$42,998","$52,636",1734,774
2.0,Gallatin,"$27,423","$50,136","$65,029",89513,36550
,United States,"$27,334","$51,914","$62,982",308745538,116716292
3.0,Stillwater,"$27,168","$57,227","$65,438",9117,3796
4.0,Richland,"$26,888","$52,516","$60,236",9746,4167
5.0,Fallon,"$26,819","$52,529","$64,500",2890,1233
6.0,Sheridan,"$26,537","$39,578","$55,313",3384,1587
7.0,Jefferson,"$26,437","$56,695","$67,195",11406,4512
8.0,Yellowstone,"$26,152","$48,641","$62,380",147972,60672
9.0,Lewis and Clark,"$25,894","$50,238","$65,573",63395,26694
10.0,Carbon,"$24,983","$49,010","$59,823",10078,4571
11.0,Daniels,"$24,737","$38,125","$49,479",1751,798
12.0,Flathead,"$24,721","$44,998","$53,940",90928,37504
13.0,Park,"$24,717","$38,830","$50,252",15636,7310
14.0,Dawson,"$24,602","$50,752","$63,982",8966,3749
15.0,Missoula,"$24,343","$42,887","$58,302",109299,45926
16.0,Valley,"$24,305","$42,050","$54,096",7369,3198
17.0,Phillips,"$24,227","$36,453","$55,362",4253,1819
18.0,Judith Basin,"$24,029","$41,473","$54,479",2072,924
19.0,Ravalli,"$23,908","$43,000","$53,004",40212,16933
,Montana,"$23,836","$43,872","$55,725",989415,409607
20.0,Madison,"$23,265","$48,167","$56,406",7691,3560
21.0,Granite,"$23,222","$36,052","$47,685",3079,1417
22.0,Cascade,"$22,963","$42,389","$53,540",81327,33809
23.0,Sweet Grass,"$22,785","$43,723","$56,552",3651,1590
24.0,Wibaux,"$22,579","$40,417","$51,354",1017,457
25.0,Garfield,"$22,424","$42,955","$54,375",1206,532
26.0,Fergus,"$22,295","$37,607","$48,623",11586,5099
27.0,Deer Lodge,"$21,921","$35,310","$51,076",9298,4018
28.0,Custer,"$21,676","$38,913","$49,011",11699,5031
29.0,Powder River,"$21,543","$37,685","$50,156",1743,755
30.0,Hill,"$21,420","$43,606","$55,963",16096,6275
31.0,Silver Bow,"$21,357","$37,986","$52,288",34200,14932
32.0,Prairie,"$21,296","$34,896","$43,500",1179,551
33.0,Beaverhead,"$21,110","$38,264","$53,036",9246,4014
34.0,Petroleum,"$21,008","$36,875","$39,107",494,225
35.0,Treasure,"$20,882","$37,969","$51,458",718,335
36.0,Musselshell,"$20,875","$37,033","$47,860",4538,2046
37.0,Carter,"$20,681","$35,703","$47,955",1160,532
38.0,Teton,"$20,509","$39,516","$49,102",6073,2450
39.0,Toole,"$20,464","$42,949","$54,722",5324,2015
40.0,Chouteau,"$20,202","$41,064","$50,201",5813,2294
41.0,Lake,"$20,164","$37,274","$47,437",28746,11432
42.0,Rosebud,"$19,844","$44,776","$56,282",9233,3395
43.0,Lincoln,"$19,626","$30,823","$39,600",19687,8843
44.0,Broadwater,"$19,606","$44,667","$46,949",5612,2347
45.0,Golden Valley,"$19,319","$35,726","$48,750",884,363
46.0,Mineral,"$19,209","$37,256","$44,271",4223,1911
47.0,Liberty,"$19,097","$40,212","$44,957",2339,822
48.0,Pondera,"$18,989","$36,419","$47,656",6153,2285
49.0,Wheatland,"$18,474","$30,321","$41,161",2168,887
50.0,Sanders,"$18,472","$30,622","$37,514",11413,5121
51.0,Powell,"$17,849","$39,851","$45,339",7027,2466
52.0,Roosevelt,"$17,821","$37,451","$50,146",10425,3553
53.0,Meagher,"$17,318","$31,577","$40,057",1891,806
54.0,Glacier,"$17,053","$38,075","$44,397",13399,4361
55.0,Blaine,"$16,813","$37,034","$40,890",6491,2357
56.0,Big Horn,"$15,066","$36,550","$41,985",12865,4004
