Date,Round,Opponent,Venue,Result,Attendance,Scorers
16 September 1992,R1,Lyngby,H,,"40,036","Hateley, Huistra"
30 September 1992,R1,Lyngby,A,,"4,273",Durrant
21 October 1992,R2,Leeds United,H,,"43,251","McCoist, Lukic (o.g.)"
4 November 1992,R2,Leeds United,A,,"25,118","Hateley, McCoist"
25 November 1992,GS,Marseille,H,,"41,624","McSwegan, Hateley"
9 December 1992,GS,CSKA Moscow,A,,"9,000",Ferguson
3 March 1993,GS,Club Brugge,A,,"19,000",Huistra
17 March 1993,GS,Club Brugge,H,,"42,731","Durrant, Nisbet"
7 April 1993,GS,Marseille,A,,"46,000",Durrant
21 April 1993,GS,CSKA Moscow,H,,"43,142",
