Date,Opponentnum,Ranknum,Site,Result,Attendance
September 11,Baylor*,#14,"Ohio Stadium • Columbus, OH",,"88,622"
September 18,at Michigan State,#12,"Spartan Stadium • East Lansing, MI",,"73,483"
September 25,Stanford*,#13,"Ohio Stadium • Columbus, OH",,"89,436"
October 2,Florida State*,,"Ohio Stadium • Columbus, OH",,"89,491"
October 9,Wisconsin,,"Ohio Stadium • Columbus, OH",,"88,344"
October 16,at #15 Illinois,,"Memorial Stadium • Champaign, IL",,"73,488"
October 23,at Indiana,,"Memorial Stadium • Bloomington, IN",,"52,040"
October 30,Purdue,,"Ohio Stadium • Columbus, OH",,"89,341"
November 6,Minnesota,,"Ohio Stadium • Columbus, OH",,"87,666"
November 13,at Northwestern,,"Dyche Stadium • Evanston, IL",,"30,074"
November 20,#13 Michigan,,"Ohio Stadium • Columbus, OH",,"90,252"
December 17,vs. BYU*,#17,"Jack Murphy Stadium • San Diego, CA (Holiday Bowl)",,"52,533"
